Seat_Class,Booking_Channel,Origin,Destination,Distance_km,Route_Category,Customer_Segment,Loyalty_Status,Booking_Frequency_Qtr,Average_Spend_GBP,Total_Seats,Seats_Sold_Realized,Remaining_Seats_Realized,Demand_Index,Base_Price_At_Booking,Days_Before_Travel,Price_Premium,Load_Factor,Ticket_Price_GBP
Standard,Web,Leeds,Lyon,163.9,Short,Business,None,1,71.35,300,191,109,0.805,60.28,110,1.006,0.639,48.42
Standard,Web,Manchester,Rotterdam,975.8,Long,Leisure,Silver,5,225.33,100,66,34,1.386,146.79,3,1.356,0.664,188.11
Standard,Station,Glasgow,Lyon,495.0,Medium,Leisure,None,17,25.85,100,48,52,1.35,94.14,2,1.403,0.485,124.08
Standard,Mobile,Glasgow,Paris,1242.7,Long,Student,None,11,203.05,150,142,8,1.963,176.9,28,1.177,0.952,243.88
Standard,Web,London,Rotterdam,158.5,Short,Business,None,15,320.44,100,93,7,1.931,65.61,165,1.016,0.931,85.96
Standard,Web,Glasgow,Lyon,542.8,Medium,Student,None,0,57.57,250,217,33,1.475,89.08,9,1.165,0.871,95.02
Business,Web,Bristol,Cologne,177.3,Short,Business,None,18,412.87,100,40,60,2.664,53.78,32,0.959,0.404,87.25
Standard,Agent,Bristol,Cologne,149.7,Short,Student,Gold,3,160.51,200,168,32,2.107,57.56,75,1.002,0.841,69.26
Business,Mobile,Leeds,Cologne,582.8,Medium,Leisure,None,9,42.3,100,94,6,2.511,118.32,102,0.976,0.949,173.02
Standard,Web,Bristol,Paris,618.7,Long,Leisure,Silver,9,199.81,250,234,16,1.927,125.34,35,1.027,0.937,152.67
Standard,Mobile,Manchester,Frankfurt,189.6,Short,Business,Silver,6,86.45,200,186,14,1.453,62.65,47,0.955,0.934,76.04
Standard,Mobile,Bristol,Lyon,733.4,Long,Senior,Gold,5,401.73,150,115,35,1.45,125.09,146,1.011,0.772,134.34
Standard,Web,Birmingham,Lyon,284.7,Medium,Business,None,11,180.32,100,47,53,1.018,69.45,36,0.964,0.475,57.77
First,Web,Leeds,Cologne,172.6,Short,Business,None,9,76.17,150,106,44,2.584,76.02,147,1.001,0.71,114.04
Standard,Mobile,Edinburgh,Frankfurt,960.4,Long,Leisure,Platinum,11,237.76,250,124,126,2.607,143.68,123,0.954,0.499,190.69
Standard,Mobile,Bristol,Lyon,370.1,Medium,Business,Gold,12,236.95,300,258,42,0.773,74.37,153,1.001,0.861,59.02
Business,Mobile,Birmingham,Brussels,304.5,Medium,Leisure,Silver,14,152.29,250,105,145,2.578,92.19,174,1.016,0.421,137.38
Business,Station,Birmingham,Paris,289.8,Medium,Student,None,12,176.96,100,45,55,2.552,79.2,60,0.984,0.451,113.62
Business,Web,Manchester,Amsterdam,242.5,Medium,Leisure,None,18,389.04,150,72,78,2.007,88.25,121,1.044,0.486,121.07
Standard,Web,Leeds,Brussels,777.1,Long,Leisure,None,15,326.59,250,179,71,2.366,133.01,95,0.993,0.716,183.64
First,Agent,Manchester,Rotterdam,135.0,Short,Leisure,None,10,123.04,150,106,44,2.803,61.21,23,1.13,0.712,99.5
Standard,Web,Edinburgh,Amsterdam,156.0,Short,Leisure,None,0,475.13,200,137,63,1.714,53.71,122,1.031,0.685,65.97
Standard,Mobile,Edinburgh,Brussels,1265.0,Long,Leisure,None,17,166.27,150,60,90,2.442,174.95,115,0.971,0.402,248.78
Standard,Mobile,London,Brussels,933.1,Long,Leisure,None,6,276.05,250,156,94,2.897,145.65,155,1.03,0.624,231.28
Standard,Mobile,Edinburgh,Rotterdam,568.8,Medium,Business,Gold,11,294.14,200,190,10,1.454,106.63,163,1.036,0.95,119.24
Standard,Web,Leeds,Rotterdam,99.3,Short,Business,Gold,17,122.56,250,239,11,1.617,39.43,77,0.977,0.957,35.05
Standard,Mobile,Glasgow,Brussels,244.5,Medium,Leisure,None,11,159.79,300,190,110,2.136,70.67,36,1.018,0.636,104.62
Business,Station,Glasgow,Paris,191.8,Short,Business,Platinum,8,250.73,100,48,52,1.746,54.47,97,0.995,0.484,64.53
Standard,Mobile,Leeds,Amsterdam,416.3,Medium,Student,Gold,16,143.03,250,248,2,1.151,76.98,113,1.007,0.995,79.46
Standard,Web,Manchester,Frankfurt,195.7,Short,Business,None,3,166.7,200,90,110,2.022,67.12,137,1.008,0.454,88.66
Standard,Web,Birmingham,Frankfurt,357.5,Medium,Business,None,3,314.31,300,266,34,2.4,80.22,114,0.97,0.889,108.5
Business,Web,London,Cologne,163.6,Short,Business,None,19,372.2,150,75,75,0.514,62.74,21,1.186,0.506,59.51
Standard,Web,Glasgow,Lyon,244.0,Medium,Leisure,Gold,19,404.47,250,234,16,1.002,61.51,160,1.048,0.937,61.03
Standard,Web,Glasgow,Paris,541.6,Medium,Leisure,None,0,78.43,250,95,155,2.985,106.03,66,1.002,0.383,167.15
First,Agent,Edinburgh,Cologne,268.3,Medium,Leisure,None,2,373.76,150,78,72,2.648,86.14,44,0.963,0.521,125.41
First,Mobile,Birmingham,Cologne,60.3,Short,Leisure,Silver,18,469.46,200,150,50,2.988,63.91,121,1.024,0.75,100.53
Standard,Mobile,Manchester,Paris,64.7,Short,Student,Gold,7,298.75,150,54,96,2.099,45.12,80,0.966,0.366,51.36
First,Mobile,Bristol,Paris,133.6,Short,Leisure,None,19,310.25,300,172,128,1.765,83.34,143,0.954,0.574,103.32
First,Web,London,Brussels,316.7,Medium,Senior,Silver,0,478.56,250,144,106,0.58,96.15,155,0.997,0.576,79.44
First,Agent,Leeds,Paris,584.4,Medium,Student,None,5,437.33,150,98,52,1.362,124.39,16,1.168,0.658,148.4
Standard,Web,Birmingham,Frankfurt,177.9,Short,Business,Silver,8,287.68,250,75,175,1.536,57.77,46,1.0,0.303,66.24
Business,Web,Manchester,Paris,521.3,Medium,Business,None,17,387.61,250,189,61,0.831,116.39,103,0.969,0.756,100.81
Standard,Web,Manchester,Rotterdam,523.9,Medium,Leisure,Silver,8,106.83,250,146,104,1.487,110.5,176,0.998,0.587,128.94
Standard,Station,London,Brussels,556.3,Medium,Business,Silver,19,218.29,150,70,80,1.064,109.85,65,0.967,0.469,117.96
Standard,Station,London,Amsterdam,179.8,Short,Senior,None,9,363.4,150,66,84,1.606,47.23,19,1.191,0.444,56.27
Standard,Web,Edinburgh,Cologne,1435.4,Long,Leisure,None,15,158.52,100,84,16,1.979,203.41,90,0.993,0.843,262.04
Standard,Station,Edinburgh,Paris,1440.9,Long,Leisure,None,11,237.87,150,75,75,2.167,202.7,37,0.982,0.5,278.63
First,Web,Leeds,Rotterdam,868.5,Long,Leisure,None,5,102.91,300,232,68,1.851,163.19,53,1.029,0.774,209.98
Standard,Web,Leeds,Rotterdam,287.8,Medium,Business,None,13,450.95,200,61,139,0.591,74.02,47,1.005,0.307,55.93
Standard,Station,London,Cologne,1178.8,Long,Leisure,None,7,449.92,100,97,3,2.794,179.26,131,0.964,0.979,268.92
Standard,Station,London,Amsterdam,68.5,Short,Business,None,14,249.61,250,89,161,2.565,32.08,88,0.961,0.356,44.19
Standard,Mobile,Birmingham,Lyon,284.5,Medium,Business,None,9,112.16,150,87,63,2.006,85.41,86,0.977,0.583,105.8
Business,Mobile,Edinburgh,Brussels,509.2,Medium,Leisure,Platinum,4,346.02,200,153,47,2.635,98.81,62,1.026,0.767,136.44
Standard,Station,Manchester,Cologne,459.7,Medium,Student,Platinum,19,122.5,200,147,53,2.674,89.59,129,0.995,0.737,126.84
Standard,Mobile,Glasgow,Paris,460.3,Medium,Leisure,None,15,129.73,200,185,15,1.069,100.13,39,0.969,0.925,96.69
Standard,Station,Glasgow,Lyon,192.6,Short,Leisure,Silver,7,486.58,250,244,6,1.166,54.13,73,0.954,0.979,59.53
Standard,Mobile,Glasgow,Lyon,1200.9,Long,Leisure,Platinum,10,67.78,100,80,20,0.677,168.29,161,0.987,0.804,136.54
Standard,Agent,Edinburgh,Amsterdam,372.3,Medium,Student,Silver,2,202.04,200,149,51,1.882,79.75,23,1.124,0.747,102.31
First,Agent,Edinburgh,Cologne,852.3,Long,Student,Gold,1,286.34,100,36,64,2.291,164.29,162,1.045,0.369,216.92
Business,Web,London,Cologne,100.8,Short,Leisure,Gold,0,71.74,300,182,118,0.779,68.38,49,0.97,0.608,65.1
Standard,Station,Glasgow,Frankfurt,311.1,Medium,Leisure,Platinum,0,38.69,300,129,171,1.673,75.54,125,1.02,0.431,72.61
First,Web,London,Frankfurt,214.0,Medium,Student,None,19,280.32,200,113,87,2.537,85.35,177,0.973,0.566,128.08
First,Web,Edinburgh,Frankfurt,304.6,Medium,Business,None,9,74.99,200,79,121,2.161,98.92,49,0.956,0.399,134.09
First,Mobile,Bristol,Cologne,534.1,Medium,Leisure,None,17,140.56,300,255,45,1.908,125.12,138,0.951,0.85,161.36
Standard,Web,Bristol,Cologne,159.2,Short,Business,Silver,15,258.69,100,65,35,1.821,48.17,96,0.977,0.659,45.04
Standard,Mobile,Leeds,Frankfurt,143.3,Short,Student,Silver,18,186.8,100,37,63,1.426,48.23,66,1.041,0.377,54.17
Standard,Station,Edinburgh,Brussels,560.9,Medium,Leisure,None,15,361.07,100,66,34,1.591,89.1,71,0.974,0.665,99.3
First,Web,Glasgow,Rotterdam,305.7,Medium,Leisure,None,2,481.98,150,79,71,1.228,93.09,67,1.005,0.531,100.35
First,Web,Bristol,Rotterdam,136.7,Short,Leisure,Gold,6,381.53,300,195,105,2.185,71.51,39,0.974,0.651,92.15
Standard,Agent,Leeds,Rotterdam,212.5,Medium,Business,None,5,500.0,150,72,78,2.109,50.82,170,1.021,0.48,77.96
Standard,Web,Leeds,Paris,556.8,Medium,Leisure,Silver,10,206.68,150,124,26,1.004,96.83,100,1.027,0.829,89.02
Business,Web,Edinburgh,Paris,379.1,Medium,Student,Gold,4,166.51,300,91,209,1.17,85.38,1,1.371,0.306,91.38
First,Web,Leeds,Brussels,76.7,Short,Student,Silver,8,122.04,150,59,91,2.966,61.96,174,0.955,0.398,88.42
Business,Mobile,London,Amsterdam,295.7,Medium,Business,None,3,444.74,150,105,45,0.761,84.43,164,0.963,0.7,80.27
First,Mobile,London,Rotterdam,539.3,Medium,Leisure,Platinum,11,207.17,250,188,62,2.234,121.77,124,0.999,0.754,160.81
Standard,Station,London,Rotterdam,243.5,Medium,Senior,None,9,361.25,300,98,202,1.791,65.2,172,0.99,0.329,80.67
Standard,Web,Manchester,Paris,1432.7,Long,Business,Gold,2,343.89,200,153,47,0.695,206.39,31,0.96,0.766,169.51
First,Station,London,Cologne,349.4,Medium,Business,Gold,6,47.4,200,88,112,0.649,102.74,97,0.962,0.441,90.81
Standard,Mobile,Glasgow,Lyon,87.7,Short,Senior,Silver,1,442.23,100,40,60,2.504,37.0,110,1.006,0.403,56.4
Standard,Web,London,Cologne,99.8,Short,Student,Silver,7,253.54,100,31,69,2.044,38.21,132,1.049,0.314,38.14
First,Mobile,Edinburgh,Paris,111.3,Short,Business,None,12,127.3,200,128,72,0.612,66.91,53,1.043,0.644,63.92
Standard,Mobile,Bristol,Brussels,132.2,Short,Leisure,Gold,14,489.96,100,82,18,1.22,46.51,103,1.039,0.827,45.05
First,Mobile,Glasgow,Amsterdam,1128.1,Long,Leisure,None,0,381.52,150,107,43,1.147,193.18,93,0.958,0.717,192.87
Standard,Web,Bristol,Paris,1003.0,Long,Senior,Silver,1,316.03,200,181,19,1.903,165.54,78,0.961,0.906,208.92
Business,Web,London,Brussels,378.5,Medium,Student,None,17,494.42,200,134,66,1.103,94.14,178,1.021,0.674,92.92
Standard,Web,London,Lyon,92.8,Short,Leisure,Platinum,18,383.16,100,30,70,2.487,41.18,5,1.439,0.306,63.08
Standard,Web,London,Frankfurt,107.6,Short,Student,Platinum,6,78.15,100,89,11,1.095,56.75,52,0.98,0.898,44.68
Standard,Mobile,Leeds,Lyon,1020.4,Long,Student,Gold,1,495.75,150,141,9,1.627,160.15,145,1.0,0.943,173.55
Standard,Web,Edinburgh,Lyon,1137.8,Long,Leisure,Silver,15,306.85,150,136,14,1.555,165.34,32,0.989,0.911,183.12
First,Mobile,Edinburgh,Rotterdam,69.6,Short,Business,None,15,163.73,250,108,142,0.679,85.0,134,0.964,0.433,76.87
First,Web,Edinburgh,Amsterdam,505.6,Medium,Leisure,Silver,3,412.41,200,198,2,1.474,117.92,93,0.992,0.993,126.75
Standard,Web,Bristol,Paris,152.1,Short,Student,Gold,16,43.0,150,145,5,1.52,65.84,125,0.992,0.973,70.0
Standard,Mobile,Glasgow,Frankfurt,94.8,Short,Leisure,Silver,13,334.1,150,134,16,0.864,51.5,92,1.014,0.899,45.38
Standard,Web,Glasgow,Brussels,118.9,Short,Business,Silver,7,96.45,150,106,44,2.713,36.14,138,1.025,0.707,54.75
Standard,Station,Manchester,Frankfurt,578.8,Medium,Leisure,Gold,8,62.02,150,65,85,1.434,82.77,151,1.029,0.439,93.09
Business,Web,Bristol,Paris,53.1,Short,Leisure,None,7,189.91,200,87,113,2.62,75.43,113,0.966,0.436,107.55
First,Web,Edinburgh,Amsterdam,171.7,Short,Leisure,Platinum,17,191.05,100,66,34,1.956,82.91,61,1.011,0.663,97.55
First,Station,Birmingham,Paris,126.8,Short,Business,Silver,6,308.25,100,92,8,0.524,71.26,147,0.973,0.925,56.33
First,Mobile,Manchester,Brussels,142.8,Short,Leisure,None,12,291.41,300,170,130,2.206,78.08,132,1.027,0.568,112.97
Standard,Web,London,Frankfurt,473.8,Medium,Business,Gold,0,350.22,100,64,36,1.511,94.41,174,0.999,0.646,96.06
Business,Web,Leeds,Lyon,118.4,Short,Leisure,Platinum,7,103.57,100,59,41,2.33,55.29,160,0.986,0.593,80.66
First,Mobile,Bristol,Paris,772.7,Long,Business,Silver,8,438.01,300,245,55,2.224,144.45,84,1.037,0.817,191.16
First,Agent,Leeds,Cologne,186.4,Short,Business,Silver,18,432.16,250,92,158,2.347,85.88,46,1.037,0.369,128.44
Business,Station,Manchester,Amsterdam,161.0,Short,Leisure,Gold,14,123.81,250,201,49,2.23,48.32,62,1.043,0.804,61.0
Standard,Web,Glasgow,Amsterdam,133.9,Short,Leisure,Platinum,2,247.32,300,255,45,0.551,56.37,92,1.007,0.85,39.4
First,Agent,Birmingham,Frankfurt,117.3,Short,Leisure,Platinum,10,254.25,300,240,60,2.913,70.86,54,1.018,0.801,99.4
Standard,Web,Manchester,Lyon,124.9,Short,Business,None,13,462.19,200,154,46,1.659,55.1,124,0.993,0.774,61.99
Standard,Web,Bristol,Brussels,173.5,Short,Business,Silver,11,454.7,300,171,129,2.728,56.62,100,1.04,0.573,80.84
Standard,Station,Edinburgh,Lyon,611.3,Long,Leisure,Gold,4,52.38,200,127,73,0.912,101.74,67,0.999,0.639,93.84
Business,Web,London,Frankfurt,546.1,Medium,Business,Silver,1,479.85,250,112,138,1.393,118.25,24,1.174,0.448,131.57
Business,Web,Edinburgh,Lyon,642.1,Long,Leisure,Silver,6,52.91,200,157,43,2.935,134.52,66,1.034,0.785,201.7
First,Web,Edinburgh,Frankfurt,142.4,Short,Leisure,Silver,4,283.79,100,44,56,2.688,76.09,18,1.143,0.446,115.73
First,Web,Bristol,Lyon,333.2,Medium,Business,None,2,169.56,100,69,31,2.494,86.27,96,1.034,0.691,128.54
Standard,Mobile,Edinburgh,Paris,151.7,Short,Leisure,None,9,207.42,300,246,54,1.226,48.26,48,1.039,0.823,57.39
Business,Mobile,Edinburgh,Amsterdam,234.2,Medium,Business,None,10,320.82,250,107,143,2.263,78.69,174,0.951,0.429,115.69
Standard,Web,Bristol,Frankfurt,1100.6,Long,Senior,Silver,7,300.23,300,147,153,1.103,172.38,48,0.994,0.49,174.63
Standard,Mobile,Bristol,Frankfurt,1369.7,Long,Leisure,None,5,100.39,250,151,99,2.178,193.49,62,1.046,0.607,275.21
Standard,Agent,Birmingham,Amsterdam,124.2,Short,Business,Platinum,11,485.5,200,150,50,2.918,54.93,155,0.955,0.753,83.93
First,Station,Edinburgh,Cologne,62.7,Short,Senior,None,12,33.77,100,52,48,1.375,81.94,62,0.994,0.526,83.88
First,Web,Manchester,Cologne,55.6,Short,Leisure,None,1,184.82,150,63,87,1.721,57.72,102,1.031,0.424,75.38
Standard,Agent,Glasgow,Brussels,143.2,Short,Leisure,Platinum,15,404.66,150,61,89,1.499,58.86,125,0.998,0.409,61.03
Standard,Mobile,London,Frankfurt,60.4,Short,Leisure,Silver,12,428.45,200,96,104,0.749,52.29,102,1.023,0.484,56.42
First,Web,Leeds,Paris,60.7,Short,Business,None,8,402.7,150,87,63,2.878,72.92,78,1.036,0.583,112.87
Standard,Web,London,Lyon,113.8,Short,Business,Platinum,12,198.8,250,91,159,1.467,60.68,65,0.97,0.365,66.78
First,Web,Bristol,Paris,283.8,Medium,Business,Gold,14,343.23,200,193,7,2.902,94.7,52,0.971,0.967,148.0
Business,Mobile,Leeds,Frankfurt,281.7,Medium,Business,Silver,7,386.86,150,149,1,2.3,71.83,1,1.425,0.999,119.59
Standard,Web,Bristol,Brussels,1032.9,Long,Business,Platinum,16,297.42,150,136,14,1.053,156.18,178,0.986,0.91,145.74
Standard,Mobile,Glasgow,Frankfurt,92.1,Short,Leisure,None,9,345.93,100,87,13,2.019,33.81,40,0.98,0.879,38.92
First,Web,Glasgow,Brussels,82.9,Short,Senior,None,8,285.74,250,150,100,0.727,67.44,72,1.011,0.6,63.56
First,Agent,Birmingham,Amsterdam,405.8,Medium,Leisure,Gold,16,46.38,150,80,70,0.989,102.36,145,1.047,0.536,104.16
Standard,Web,Edinburgh,Lyon,316.4,Medium,Leisure,None,16,151.18,100,60,40,0.766,82.87,1,1.368,0.603,89.69
Business,Station,Bristol,Paris,62.0,Short,Senior,Platinum,18,357.27,100,31,69,0.662,53.89,78,1.021,0.313,41.73
Standard,Agent,Glasgow,Brussels,1214.5,Long,Student,None,18,135.94,150,61,89,2.047,182.07,158,1.017,0.412,231.93
Standard,Web,Bristol,Paris,137.8,Short,Student,None,1,238.62,300,204,96,1.174,61.24,67,1.026,0.682,57.12
First,Web,London,Rotterdam,284.8,Medium,Leisure,Silver,10,276.61,150,142,8,2.393,79.45,22,1.154,0.949,112.11
Business,Web,Edinburgh,Amsterdam,432.9,Medium,Student,Gold,7,342.07,100,94,6,1.339,115.42,35,1.027,0.949,119.86
Standard,Station,Birmingham,Frankfurt,193.3,Short,Business,None,16,144.39,100,80,20,2.676,58.18,56,0.951,0.8,83.44
First,Mobile,Glasgow,Brussels,582.6,Medium,Business,None,0,305.7,150,95,55,1.604,126.57,126,1.008,0.639,147.37
Standard,Web,Bristol,Lyon,412.8,Medium,Senior,Platinum,17,306.32,300,146,154,1.378,80.16,142,0.963,0.487,77.54
Standard,Web,Bristol,Rotterdam,64.7,Short,Leisure,Platinum,6,425.61,200,118,82,0.602,38.85,45,1.012,0.59,25.9
Standard,Web,Bristol,Brussels,1012.4,Long,Business,None,8,284.98,300,296,4,2.326,167.47,86,1.025,0.989,236.39
Business,Agent,London,Cologne,54.0,Short,Student,Silver,8,161.64,300,270,30,2.941,53.8,33,0.994,0.9,75.47
Standard,Mobile,Glasgow,Frankfurt,366.1,Medium,Leisure,Silver,9,270.9,300,191,109,1.151,78.22,140,1.018,0.639,82.56
Standard,Station,Bristol,Frankfurt,186.4,Short,Leisure,Platinum,15,71.49,150,134,16,2.136,53.22,152,1.047,0.898,80.25
Standard,Web,Bristol,Lyon,387.0,Medium,Leisure,Silver,10,311.72,200,164,36,2.186,83.24,137,1.045,0.823,116.44
Business,Web,London,Lyon,132.6,Short,Business,Gold,5,459.74,300,174,126,1.601,60.24,130,0.98,0.582,78.54
First,Agent,Bristol,Amsterdam,742.2,Long,Leisure,Platinum,11,274.31,300,193,107,1.358,142.76,59,0.97,0.646,147.01
First,Web,Edinburgh,Rotterdam,206.3,Medium,Leisure,Silver,9,160.24,250,156,94,0.63,85.18,95,1.015,0.624,68.83
Standard,Agent,Edinburgh,Rotterdam,199.0,Short,Leisure,None,15,214.65,300,93,207,2.874,63.83,29,1.148,0.31,104.37
Standard,Web,London,Paris,100.7,Short,Leisure,Silver,13,452.89,250,131,119,1.775,31.09,55,0.96,0.525,32.4
Standard,Web,Edinburgh,Brussels,851.4,Long,Leisure,Platinum,16,410.27,200,65,135,1.265,138.02,94,0.96,0.327,141.2
First,Mobile,Leeds,Amsterdam,1114.2,Long,Leisure,Silver,19,405.52,300,275,25,2.704,190.85,150,0.98,0.919,284.98
Business,Agent,Leeds,Paris,498.1,Medium,Student,Platinum,4,290.76,100,71,29,0.845,109.85,119,1.05,0.711,93.65
Standard,Agent,Leeds,Rotterdam,300.6,Medium,Leisure,Platinum,3,210.28,150,87,63,2.251,79.5,105,0.984,0.583,96.62
First,Web,Birmingham,Amsterdam,1071.7,Long,Student,None,12,83.57,100,37,63,0.793,195.99,177,0.959,0.37,169.57
Standard,Web,Bristol,Cologne,99.9,Short,Student,Silver,6,488.29,300,98,202,2.325,58.69,140,0.985,0.328,80.57
Standard,Mobile,Birmingham,Lyon,392.4,Medium,Business,Gold,10,105.97,300,143,157,2.007,80.78,136,0.972,0.479,99.49
Standard,Mobile,Edinburgh,Lyon,264.5,Medium,Leisure,None,10,141.02,250,144,106,1.925,63.52,16,1.136,0.577,83.34
Standard,Mobile,London,Frankfurt,404.0,Medium,Student,Silver,11,386.85,200,143,57,1.907,86.99,168,1.001,0.719,104.47
Standard,Web,Leeds,Brussels,57.1,Short,Business,None,2,188.36,100,54,46,1.593,46.05,173,1.043,0.546,57.74
Standard,Agent,London,Brussels,536.0,Medium,Leisure,Gold,11,300.26,300,191,109,2.739,101.57,64,0.953,0.637,141.52
Standard,Mobile,Birmingham,Brussels,451.1,Medium,Leisure,Platinum,2,385.59,150,116,34,0.592,72.12,179,1.025,0.776,52.63
First,Station,Edinburgh,Amsterdam,1447.3,Long,Leisure,None,0,286.94,150,49,101,2.693,227.67,10,1.102,0.331,362.28
Standard,Mobile,Glasgow,Amsterdam,439.9,Medium,Leisure,Gold,9,255.55,200,133,67,1.563,94.63,76,0.96,0.667,104.74
Standard,Web,Bristol,Brussels,763.9,Long,Business,Silver,0,44.34,100,49,51,1.322,134.5,121,0.991,0.499,144.95
First,Agent,Glasgow,Frankfurt,1035.6,Long,Leisure,Gold,0,254.08,250,211,39,1.99,187.02,173,1.035,0.847,233.41
Standard,Mobile,Edinburgh,Paris,465.9,Medium,Business,Gold,10,238.41,250,131,119,1.041,91.84,85,1.007,0.526,90.33
Standard,Station,Leeds,Cologne,106.1,Short,Senior,None,15,442.65,250,104,146,1.614,41.47,56,1.014,0.419,43.54
First,Agent,Edinburgh,Amsterdam,421.1,Medium,Leisure,None,2,234.75,250,213,37,2.068,111.12,73,0.955,0.853,143.85
Standard,Mobile,London,Brussels,746.4,Long,Leisure,None,2,322.37,150,125,25,1.435,128.92,13,1.183,0.838,164.64
Standard,Mobile,Manchester,Lyon,166.6,Short,Business,Platinum,7,391.39,150,93,57,1.295,66.59,64,0.983,0.625,54.14
Standard,Web,Leeds,Amsterdam,563.8,Medium,Business,Silver,12,244.5,300,128,172,1.974,94.01,115,0.967,0.429,117.87
Business,Web,Glasgow,Paris,97.2,Short,Leisure,Platinum,15,145.21,300,189,111,2.064,67.73,158,0.954,0.631,77.04
Standard,Web,Bristol,Amsterdam,169.0,Short,Student,Silver,14,449.1,100,60,40,1.282,66.4,52,1.036,0.609,70.36
First,Web,Leeds,Paris,236.8,Medium,Student,Silver,9,449.85,100,40,60,2.122,82.18,114,0.991,0.403,111.04
Standard,Web,Leeds,Paris,298.7,Medium,Business,Gold,16,451.92,200,110,90,2.608,74.08,54,1.026,0.554,105.58
Standard,Web,Bristol,Amsterdam,384.7,Medium,Leisure,Gold,2,150.93,150,130,20,0.783,65.7,57,1.004,0.87,60.7
Standard,Web,Glasgow,Paris,947.8,Long,Business,None,13,171.42,200,130,70,2.847,151.99,18,1.157,0.652,253.22
First,Web,Leeds,Amsterdam,142.9,Short,Business,None,0,461.02,250,97,153,0.668,79.3,25,1.196,0.391,72.48
Standard,Web,London,Amsterdam,134.4,Short,Leisure,None,8,80.38,300,275,25,1.811,45.44,20,1.167,0.919,59.74
Standard,Web,Edinburgh,Frankfurt,678.5,Long,Leisure,Gold,18,334.82,300,246,54,2.757,113.95,11,1.159,0.821,184.54
Standard,Mobile,London,Lyon,252.7,Medium,Business,Gold,9,160.31,200,136,64,1.139,74.5,168,1.006,0.68,62.99
Standard,Mobile,Edinburgh,Cologne,57.8,Short,Leisure,None,10,366.23,200,97,103,2.242,36.95,151,1.004,0.487,49.77
Business,Web,Manchester,Paris,581.0,Medium,Leisure,None,13,420.16,150,55,95,0.605,123.16,90,1.046,0.368,112.2
Standard,Mobile,Leeds,Amsterdam,1180.8,Long,Senior,Silver,15,215.9,250,204,46,1.701,157.35,87,0.984,0.817,191.83
Standard,Station,Manchester,Paris,542.2,Medium,Student,Silver,6,92.56,100,73,27,2.065,94.13,170,0.953,0.739,113.89
Standard,Web,Birmingham,Amsterdam,1087.1,Long,Student,Silver,8,371.47,100,87,13,1.849,175.35,175,0.961,0.874,204.49
Business,Mobile,Glasgow,Cologne,79.1,Short,Leisure,Platinum,12,46.75,200,156,44,0.945,62.08,56,1.029,0.782,52.91
Standard,Agent,Edinburgh,Rotterdam,144.0,Short,Leisure,Gold,6,27.2,200,81,119,0.554,61.14,33,1.042,0.408,49.38
Standard,Station,London,Amsterdam,1054.8,Long,Business,None,0,441.05,200,123,77,1.621,160.65,98,0.957,0.617,187.4
First,Web,London,Amsterdam,363.3,Medium,Business,None,6,412.07,100,51,49,0.951,95.96,26,1.109,0.518,94.73
First,Mobile,Leeds,Lyon,105.8,Short,Business,None,1,299.34,300,271,29,1.414,79.0,103,0.96,0.906,79.57
Standard,Web,London,Paris,460.0,Medium,Leisure,None,1,339.38,300,147,153,2.602,99.64,69,0.968,0.492,143.86
Standard,Mobile,Birmingham,Lyon,447.1,Medium,Business,Gold,0,477.25,100,64,36,1.872,89.54,29,1.112,0.647,116.0
Standard,Agent,Bristol,Lyon,72.7,Short,Senior,None,8,50.13,300,205,95,0.704,49.36,109,0.987,0.684,47.8
Standard,Mobile,London,Rotterdam,526.5,Medium,Leisure,Silver,9,123.96,150,110,40,2.293,102.63,60,0.99,0.738,130.71
Standard,Agent,Leeds,Rotterdam,145.4,Short,Leisure,Silver,9,370.02,200,149,51,1.625,59.09,165,1.002,0.745,61.25
Standard,Web,Manchester,Lyon,130.4,Short,Business,None,4,146.74,250,188,62,0.601,44.9,153,1.029,0.752,39.1
Standard,Agent,Glasgow,Lyon,499.6,Medium,Business,None,6,119.49,250,137,113,2.304,98.88,107,1.008,0.549,139.71
Standard,Mobile,London,Frankfurt,73.0,Short,Leisure,Gold,9,232.26,300,196,104,2.714,42.96,172,0.959,0.654,64.93
First,Web,London,Paris,188.0,Short,Student,Platinum,2,367.38,100,34,66,2.366,89.15,162,1.031,0.341,120.89
Business,Mobile,London,Paris,843.5,Long,Leisure,None,11,121.05,150,100,50,2.945,149.57,121,1.025,0.669,233.24
Standard,Web,Leeds,Amsterdam,305.1,Medium,Student,Silver,19,226.18,250,183,67,0.893,75.76,12,1.177,0.735,82.58
Standard,Web,Glasgow,Paris,526.0,Medium,Leisure,Silver,15,269.03,250,205,45,1.911,99.68,93,1.007,0.821,124.13
Standard,Station,Bristol,Cologne,100.1,Short,Leisure,Gold,17,102.67,300,120,180,0.731,34.86,39,0.992,0.403,29.26
Business,Web,London,Lyon,174.6,Short,Student,Gold,15,248.86,100,73,27,2.939,73.0,147,0.967,0.734,117.6
Standard,Mobile,Bristol,Brussels,331.2,Medium,Student,Platinum,9,435.62,250,132,118,1.038,64.64,147,1.045,0.529,67.5
Standard,Web,Bristol,Rotterdam,132.6,Short,Senior,None,0,378.11,150,87,63,2.855,57.24,29,1.187,0.583,94.41
